movieId,title,genres,abstract_en,abstract_kk,abstract_fr,description_en,description_kk,description_fr
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,"A medical examiner, desperate to solve his wife's murder, injects himself with an experimental serum containing her brain cells. He hopes to access her memories and find the killer.","Әйелінің өлімін ашуға тырысқан сот-медицина сарапшысы ми жасушалары бар эксперименталды сарысуды өзіне енгізеді. Ол оның естеліктеріне қол жеткізіп, кісі өлтірушіні табуға үміттенеді.","Un médecin légiste, désespéré de résoudre le meurtre de sa femme, s'injecte un sérum expérimental contenant ses cellules cérébrales. Il espère accéder à ses souvenirs et trouver le tueur.","""Unforgettable"" is a gripping sci-fi thriller centered on Dr. David Krane, a medical examiner haunted by the unsolved murder of his wife. Convinced of his innocence but framed for the crime, David becomes obsessed with finding the real killer. He learns about an experimental procedure that allows memories to be transferred between individuals through brain cell extraction and injection. Driven by desperation, David subjects himself to the dangerous procedure, hoping to relive his wife's final moments and uncover the truth. As he delves deeper into her memories, he uncovers a web of deceit and betrayal, blurring the lines between reality and illusion, and putting his own life in grave danger. The film explores themes of obsession, memory, and the lengths one will go to for justice.","""Unforgettable"" – әйелінің ашылмаған кісі өлтіруінен қорқынышты сот-медицина сарапшысы, доктор Дэвид Крейн туралы ғылыми-фантастикалық триллер. Өзінің кінәсіздігіне сенімді, бірақ қылмысқа жабылған Дэвид нағыз кісі өлтірушіні табуға құмар болады. Ол ми жасушаларын алу және инъекциялау арқылы естеліктерді адамдар арасында беруге мүмкіндік беретін эксперименталды процедура туралы біледі. Үмітсіздіктен Дэвид әйелінің соңғы сәттерін қайта бастан кешіріп, шындықты ашу үшін өзін қауіпті процедураға ұшыратады. Ол оның естеліктеріне тереңірек енген сайын, алдау мен сатқындықтың торын ашады, шындық пен елес арасындағы шекараны бұлдыратып, өз өмірін үлкен қауіпке тігеді. Фильм құмарлық, естелік және әділдік үшін қаншалықты алысқа бара алатыныңыз туралы тақырыптарды зерттейді.","""Unforgettable"" est un thriller de science-fiction captivant centré sur le Dr David Krane, un médecin légiste hanté par le meurtre non résolu de sa femme. Convaincu de son innocence mais accusé du crime, David devient obsédé par la recherche du véritable tueur. Il découvre une procédure expérimentale qui permet de transférer des souvenirs entre des individus grâce à l'extraction et à l'injection de cellules cérébrales. Poussé par le désespoir, David se soumet à cette procédure dangereuse, dans l'espoir de revivre les derniers instants de sa femme et de découvrir la vérité. En plongeant plus profondément dans ses souvenirs, il découvre un réseau de tromperies et de trahisons, brouillant les frontières entre la réalité et l'illusion, et mettant sa propre vie en grave danger. Le film explore les thèmes de l'obsession, de la mémoire et des extrêmes auxquels on est prêt à aller pour obtenir justice."
104,Happy Gilmore (1996),Comedy,An unsuccessful hockey player discovers a talent for golf and joins a tournament to save his grandmother's house. His unconventional style clashes with the refined world of professional golf.,"Сәтсіз хоккей ойыншысы гольфқа деген талантын ашып, әжесінің үйін сақтап қалу үшін турнирге қатысады. Оның ерекше стилі кәсіби гольф әлемімен қақтығысады.",Un joueur de hockey raté découvre un talent pour le golf et participe à un tournoi pour sauver la maison de sa grand-mère. Son style non conventionnel se heurte au monde raffiné du golf professionnel.,"Happy Gilmore, a short-tempered and unsuccessful hockey player, discovers he has a prodigious talent for golf, specifically his incredibly powerful drive. Facing the foreclosure of his grandmother's house, Happy enters a golf tournament to win enough money to save it. His aggressive and unconventional style clashes with the more refined and traditional world of professional golf, leading to hilarious confrontations and antics both on and off the course. He must learn to control his temper and master his newfound skills while dealing with rival golfers and the pressures of competition. The film explores themes of family, perseverance, and staying true to oneself, all wrapped in a comedic package.","Ашуланшақ және сәтсіз хоккей ойыншысы Хэппи Гилмор гольфқа деген керемет талантын ашады, әсіресе оның керемет күшті соққысы. Әжесінің үйі тәркілену қаупі төнгендіктен, Хэппи оны сақтап қалу үшін жеткілікті ақша табу үшін гольф турниріне қатысады. Оның агрессивті және ерекше стилі кәсіби гольфтың талғампаз және дәстүрлі әлемімен қақтығысып, алаңда да, одан тыс жерде де күлкілі қақтығыстар мен қылықтарға әкеледі. Ол ашуын бақылауды және бәсекелестермен және жарыс қысымымен күресе отырып, жаңадан табылған дағдыларын меңгеруді үйренуі керек. Фильм отбасы, табандылық және өзіңе адал болу тақырыптарын комедиялық түрде зерттейді.","Happy Gilmore, un joueur de hockey colérique et raté, découvre qu'il a un talent prodigieux pour le golf, en particulier son drive incroyablement puissant. Confronté à la saisie de la maison de sa grand-mère, Happy s'inscrit à un tournoi de golf pour gagner assez d'argent pour la sauver. Son style agressif et non conventionnel se heurte au monde plus raffiné et traditionnel du golf professionnel, ce qui entraîne des confrontations et des pitreries hilarantes sur et en dehors du parcours. Il doit apprendre à contrôler son tempérament et à maîtriser ses nouvelles compétences tout en gérant les golfeurs rivaux et les pressions de la compétition. Le film explore les thèmes de la famille, de la persévérance et du fait de rester fidèle à soi-même, le tout dans un emballage comique."
105,"Bridges of Madison County, The (1995)",Drama|Romance,"A photographer on assignment in Iowa meets a lonely housewife, and they embark on a passionate, four-day love affair. Their connection profoundly impacts both their lives, forcing them to confront their desires and responsibilities.","Айова штатында тапсырмамен жүрген фотограф жалғыз үй шаруасындағы әйелмен кездеседі, олардың арасында төрт күндік махаббат хикаясы басталады. Олардың байланысы екеуінің де өміріне қатты әсер етіп, оларды өз қалаулары мен жауапкершіліктерімен бетпе-бет келуге мәжбүр етеді.","Un photographe en mission dans l'Iowa rencontre une femme au foyer solitaire, et ils entament une liaison passionnée de quatre jours. Leur connexion a un impact profond sur leurs vies, les forçant à faire face à leurs désirs et à leurs responsabilités.","In 1965 Iowa, National Geographic photographer Robert Kincaid arrives in Madison County to photograph its covered bridges. He encounters Francesca Johnson, an Italian war bride living a quiet, predictable life on a farm with her husband and children. While her family is away at a state fair, Robert and Francesca embark on a brief but intense love affair that challenges their deeply held beliefs about love, family, and duty. The film explores themes of longing, sacrifice, and the enduring power of a brief connection. Francesca must ultimately choose between staying with her family and pursuing a life with Robert, a decision that will shape the rest of her days.","1965 жылы Айова штатында National Geographic фотографы Роберт Кинкейд Мэдисон округіне жабық көпірлерін суретке түсіру үшін келеді. Ол күйеуі мен балаларымен фермада тыныш, болжамды өмір сүріп жатқан итальяндық соғыс қалыңдығы Франческа Джонсонмен кездеседі. Оның отбасы штаттық жәрмеңкеде болған кезде, Роберт пен Франческаның арасында махаббат, отбасы және борыш туралы терең сенімдеріне қарсы тұратын қысқа, бірақ қарқынды махаббат хикаясы басталады. Фильм сағыныш, құрбандық және қысқа байланыстың берік күші тақырыптарын зерттейді. Франческа ақыр соңында отбасымен қалуды және Робертпен өмір сүруді таңдауы керек, бұл оның өмірінің қалған бөлігін қалыптастыратын шешім.","Dans l'Iowa de 1965, Robert Kincaid, photographe pour le National Geographic, arrive dans le comté de Madison pour photographier ses ponts couverts. Il rencontre Francesca Johnson, une Italienne mariée à un Américain après la guerre, menant une vie tranquille et prévisible dans une ferme avec son mari et ses enfants. Pendant que sa famille est à une foire d'État, Robert et Francesca entament une brève mais intense liaison amoureuse qui remet en question leurs convictions profondes sur l'amour, la famille et le devoir. Le film explore les thèmes du désir, du sacrifice et du pouvoir durable d'une brève connexion. Francesca doit finalement choisir entre rester avec sa famille et poursuivre une vie avec Robert, une décision qui façonnera le reste de ses jours."
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,"A lonely security guard, Viktor, searches for love and connection in a world that seems indifferent to his existence. His quirky encounters and heartfelt desires lead him on an unexpected journey of self-discovery.",Жалғыздықтан жалыққан күзетші Виктор өзінің өміріне немқұрайлы қарайтын әлемде махаббат пен байланыс іздейді. Оның ерекше кездесулері мен жүрек түкпіріндегі армандары оны күтпеген өзін-өзі тану сапарына жетелейді.,"Un gardien de sécurité solitaire, Viktor, cherche l'amour et la connexion dans un monde qui semble indifférent à son existence. Ses rencontres excentriques et ses désirs sincères l'entraînent dans un voyage inattendu de découverte de soi.","""Nobody Loves Me"" is a poignant comedy-drama that follows Viktor, a security guard at a desolate building, as he navigates the complexities of loneliness and the search for meaningful relationships. Viktor's life is characterized by mundane routines and a yearning for connection, leading him to engage in a series of awkward yet endearing encounters. The film explores themes of isolation, the human need for love, and the unexpected places where one might find solace and self-acceptance. Through Viktor's journey, the film offers a touching and humorous reflection on the universal desire to be seen and loved for who we are.","""Nobody Loves Me"" – бұл жалғыздық пен мағыналы қарым-қатынастарды іздеудің қиындықтарын бастан кешіретін, қаңырап бос тұрған ғимаратта күзетші болып жұмыс істейтін Виктордың өмірін баяндайтын әсерлі комедия-драма. Виктордың өмірі қарапайым күнделікті істер мен байланысқа деген құштарлыққа толы, бұл оны бірқатар ыңғайсыз, бірақ сүйкімді кездесулерге жетелейді. Фильм оқшаулану, адамның махаббатқа деген қажеттілігі және жұбаныш пен өзін-өзі қабылдауды табуға болатын күтпеген жерлер туралы тақырыптарды зерттейді. Виктордың саяхаты арқылы фильм біздің кім екеніміз үшін көрініп, сүйікті болғымыз келетін әмбебап тілекке әсерлі және күлкілі көзқарас ұсынады.","""Nobody Loves Me"" est une comédie dramatique poignante qui suit Viktor, un gardien de sécurité dans un bâtiment désolé, alors qu'il navigue dans les complexités de la solitude et de la recherche de relations significatives. La vie de Viktor est caractérisée par des routines banales et un désir ardent de connexion, ce qui l'amène à s'engager dans une série de rencontres maladroites mais attachantes. Le film explore les thèmes de l'isolement, du besoin humain d'amour et des endroits inattendus où l'on peut trouver du réconfort et l'acceptation de soi. À travers le voyage de Viktor, le film offre une réflexion touchante et humoristique sur le désir universel d'être vu et aimé pour ce que nous sommes."
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,"Kermit the Frog, Miss Piggy, and the entire Muppet gang set sail on a hilarious and swashbuckling adventure to find buried treasure. Along the way, they encounter pirates, treacherous mutiny, and the infamous Long John Silver.","Кермит Бақа, Мисс Пигги және бүкіл Маппет бандасы көмілген қазынаны табу үшін көңілді және қылышпен шабатын шытырман оқиғаға аттанады. Жол бойында олар қарақшыларға, опасыз бүлікке және әйгілі Ұзын Джон Сильверге тап болады.","Kermit la Grenouille, Miss Piggy et toute la bande des Muppets se lancent dans une aventure hilarante et pleine de panache à la recherche d'un trésor enfoui. En chemin, ils rencontrent des pirates, une mutinerie perfide et le tristement célèbre Long John Silver.","""Muppet Treasure Island"" is a comedic and musical adaptation of Robert Louis Stevenson's classic novel. Jim Hawkins, played by Kevin Bishop, is swept away on a treasure hunt with the Muppets, including Gonzo as his loyal friend and Rizzo the Rat as a comical stowaway. The adventure is fraught with peril as they encounter the cunning Long John Silver, portrayed by Tim Curry, who manipulates and schemes to claim the treasure for himself. The film blends slapstick humor, catchy musical numbers, and heartwarming moments of friendship, making it a delightful experience for audiences of all ages. It explores themes of loyalty, greed, and the importance of staying true to oneself, all wrapped in the Muppets' signature brand of irreverent fun.","""Muppet Treasure Island"" - Роберт Луис Стивенсонның классикалық романының комедиялық және музыкалық бейімделуі. Кевин Бишоп сомдаған Джим Хокинс Маппеттермен бірге қазына іздеуге аттанады, оның ішінде Гонзо оның адал досы ретінде және Ризо егеуқұйрығы күлкілі тығылып жүруші ретінде. Олар Тимур Карри сомдаған айлакер Ұзын Джон Сильвермен кездескен кезде шытырман оқиға қауіп-қатерге толы, ол қазынаны өзіне алу үшін манипуляция жасайды және схема жасайды. Фильмде шапалақ юморы, тартымды музыкалық нөмірлер және достықтың жүрекке жылы тиетін сәттері үйлесім тапқан, бұл оны барлық жастағы көрермендер үшін керемет тәжірибеге айналдырады. Онда адалдық, ашкөздік және өзіңе адал болудың маңыздылығы тақырыптары зерттеледі, бәрі Маппеттердің әдеттегі әзіл-оспақ брендіне оралған.","""L'Île au Trésor des Muppets"" est une adaptation comique et musicale du roman classique de Robert Louis Stevenson. Jim Hawkins, interprété par Kevin Bishop, est emporté dans une chasse au trésor avec les Muppets, dont Gonzo dans le rôle de son ami fidèle et Rizzo le Rat dans celui d'un passager clandestin comique. L'aventure est pleine de périls lorsqu'ils rencontrent le rusé Long John Silver, interprété par Tim Curry, qui manipule et complote pour s'emparer du trésor. Le film mêle humour burlesque, numéros musicaux entraînants et moments réconfortants d'amitié, ce qui en fait une expérience délicieuse pour les spectateurs de tous âges. Il explore les thèmes de la loyauté, de la cupidité et de l'importance de rester fidèle à soi-même, le tout enveloppé dans la marque de fabrique des Muppets, un humour irrévérencieux."
108,Catwalk (1996),Documentary,Catwalk follows supermodel Christy Turlington during the 1991 fashion season. The film offers a behind-the-scenes look at the world of high fashion.,«Catwalk» фильмі 1991 жылғы сән маусымында супермодель Кристи Тарлингтонның өмірін баяндайды. Фильм жоғары сән әлемінің көріністерін ұсынады.,Catwalk suit la top-modèle Christy Turlington pendant la saison de la mode de 1991. Le film offre un regard en coulisses sur le monde de la haute couture.,"Catwalk is a documentary that intimately follows supermodel Christy Turlington during the 1991 fashion season. The film provides a rare glimpse into the hectic and glamorous world of high fashion, showcasing the demanding schedules, travel, and pressures faced by top models. It features behind-the-scenes footage of fashion shows, photoshoots, and personal moments, offering a candid portrayal of Turlington's life and career at the peak of her success. The documentary explores themes of beauty, fame, and the business of fashion, providing a unique perspective on an often-glamorized industry.","«Catwalk» - 1991 жылғы сән маусымында супермодель Кристи Тарлингтонның өмірін баяндайтын деректі фильм. Фильм жоғары сән әлемінің қарбалас және сәнді өміріне сирек көзқарас ұсынады, онда топ-модельдердің қатал кестелері, саяхаттары мен қысымдары көрсетіледі. Онда сән көрсетілімдерінің, фотосессиялардың және жеке сәттердің кадрлары бар, Тарлингтонның өмірі мен мансабының шыңындағы шынайы бейнесін ұсынады. Деректі фильм сұлулық, даңқ және сән бизнесі тақырыптарын зерттейді, көбінесе сәнді етіп көрсетілетін индустрияға бірегей көзқарас береді.","Catwalk est un documentaire qui suit intimement la top-modèle Christy Turlington pendant la saison de la mode de 1991. Le film offre un aperçu rare du monde trépidant et glamour de la haute couture, mettant en évidence les horaires exigeants, les voyages et les pressions auxquelles sont confrontés les top-modèles. Il présente des images des coulisses des défilés de mode, des séances de photos et des moments personnels, offrant un portrait candide de la vie et de la carrière de Turlington au sommet de son succès. Le documentaire explore les thèmes de la beauté, de la célébrité et du commerce de la mode, offrant une perspective unique sur une industrie souvent idéalisée."
109,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller,"A down-on-his-luck detective investigates a bizarre murder in a topless bar. He finds himself entangled in a web of deceit, humor, and unexpected danger.","Бақыты жоқ детектив топлес барындағы таңғажайып кісі өлтіруді тергейді. Ол өзін алдау, юмор және күтпеген қауіптің торына түсіп қалғанын сезеді.","Un détective malchanceux enquête sur un meurtre bizarre dans un bar topless. Il se retrouve mêlé à un réseau de tromperies, d'humour et de dangers inattendus.","In ""Headless Body in Topless Bar,"" a world-weary detective, struggling with personal demons and a stalled career, is assigned a seemingly ludicrous case: a headless corpse discovered in a local topless bar. As he delves deeper into the investigation, he encounters a cast of eccentric characters, including seductive dancers, shady bar owners, and potential mob connections. The film blends dark humor with moments of genuine suspense, exploring themes of corruption, desperation, and the search for justice in a morally ambiguous world. The detective must navigate a treacherous landscape of lies and half-truths to uncover the killer's identity and bring them to justice, all while battling his own inner turmoil.","""Топлес барындағы бассыз дене"" фильмінде жеке проблемаларымен және тоқтап қалған мансабымен күресіп жүрген, әлемнен шаршаған детективке күлкілі іс тапсырылады: жергілікті топлес барында табылған бассыз мәйіт. Тергеуге тереңірек енген сайын, ол азғырушы бишілерді, күмәнді бар иелерін және ықтимал топтық байланыстарды қоса алғанда, эксцентрлік кейіпкерлермен кездеседі. Фильм қара юморды шынайы күдік сәттерімен үйлестіріп, жемқорлық, үмітсіздік және моральдық жағынан күмәнді әлемдегі әділеттілікті іздеу тақырыптарын зерттейді. Детектив кісі өлтірушінің кім екенін анықтап, оларды жауапқа тарту үшін өтірік пен жартылай шындықтың қауіпті ландшафтында жүзуі керек, сонымен бірге өзінің ішкі дүрбелеңімен күреседі.","Dans ""Headless Body in Topless Bar"", un détective blasé, aux prises avec des démons personnels et une carrière au point mort, se voit confier une affaire apparemment ridicule : un cadavre sans tête découvert dans un bar topless local. En approfondissant l'enquête, il rencontre une galerie de personnages excentriques, notamment des danseuses séduisantes, des propriétaires de bars louches et des liens potentiels avec la mafia. Le film mêle humour noir et moments de suspense authentique, explorant les thèmes de la corruption, du désespoir et de la recherche de la justice dans un monde moralement ambigu. Le détective doit naviguer dans un paysage perfide de mensonges et de demi-vérités pour découvrir l'identité du tueur et le traduire en justice, tout en luttant contre ses propres troubles intérieurs."
110,Braveheart (1995),Action|Drama|War,"William Wallace, a Scottish warrior, leads his countrymen in a rebellion against the tyrannical English King Edward I. His courage inspires a nation to fight for its freedom.",Шотландтық жауынгер Уильям Уоллес өз отандастарын қатыгез ағылшын королі Эдуард I-ге қарсы көтеріліске бастайды. Оның батылдығы бүкіл халықты өз бостандығы үшін күресуге шабыттандырады.,"William Wallace, un guerrier écossais, mène son peuple dans une rébellion contre le roi anglais tyrannique Édouard Ier. Son courage inspire une nation à se battre pour sa liberté.","Braveheart is an epic historical drama set in 13th-century Scotland. It tells the story of William Wallace, a commoner who rises to lead the Scottish resistance against the oppressive rule of King Edward I of England. Driven by the murder of his wife at the hands of English soldiers, Wallace unites the Scottish clans and wages a bloody war for independence. The film explores themes of freedom, love, betrayal, and sacrifice, showcasing Wallace's unwavering determination and the brutal realities of medieval warfare. It culminates in Wallace's capture and execution, but his spirit of defiance continues to inspire the Scottish people.","""Жауынгер жүрек"" - 13 ғасырдағы Шотландияда орын алған тарихи драма. Ол ағылшын королі Эдуард I-нің қанаушылық билігіне қарсы шотландтық қарсылықты басқаруға көтерілген қарапайым адам Уильям Уоллестің тарихын баяндайды. Ағылшын сарбаздарының қолынан әйелінің өліміне итермеленген Уоллес шотланд кландарын біріктіріп, тәуелсіздік үшін қанды соғыс жүргізеді. Фильмде еркіндік, махаббат, сатқындық және құрбандық тақырыптары зерттеледі, Уоллестің шешімділігі мен ортағасырлық соғыстың қатыгез шындықтары көрсетіледі. Ол Уоллестің тұтқындалуымен және өлім жазасына кесілуімен аяқталады, бірақ оның бас ию білмейтін рухы шотланд халқын шабыттандыруды жалғастырады.","Braveheart est un drame historique épique qui se déroule en Écosse au XIIIe siècle. Il raconte l'histoire de William Wallace, un roturier qui s'élève pour diriger la résistance écossaise contre le règne oppressif du roi Édouard Ier d'Angleterre. Poussé par le meurtre de sa femme aux mains de soldats anglais, Wallace unit les clans écossais et mène une guerre sanglante pour l'indépendance. Le film explore les thèmes de la liberté, de l'amour, de la trahison et du sacrifice, mettant en valeur la détermination inébranlable de Wallace et les réalités brutales de la guerre médiévale. Il culmine avec la capture et l'exécution de Wallace, mais son esprit de défi continue d'inspirer le peuple écossais."
111,Taxi Driver (1976),Crime|Drama|Thriller,"A mentally unstable Vietnam war veteran works as a nighttime taxi driver in New York City, where the pervasive violence and depravity he observes further fuels his descent into vigilantism. He becomes obsessed with saving a young prostitute.","Ақыл-есі тұрақсыз Вьетнам соғысының ардагері Нью-Йоркте түнгі такси жүргізушісі болып жұмыс істейді, онда ол байқайтын зорлық-зомбылық пен азғындық оның қылмыскерлікке түсуін одан әрі күшейтеді. Ол жас жезөкшені құтқаруға құмар болады.","Un vétéran de la guerre du Vietnam mentalement instable travaille comme chauffeur de taxi de nuit à New York, où la violence et la dépravation omniprésentes qu'il observe alimentent davantage sa descente dans le vigilantisme. Il devient obsédé par l'idée de sauver une jeune prostituée.","Taxi Driver follows Travis Bickle, a lonely and alienated Vietnam War veteran suffering from insomnia, as he navigates the gritty and morally decaying streets of 1970s New York City. Disgusted by the crime and perceived immorality he witnesses, Travis becomes increasingly disillusioned and develops a desire to cleanse the city. His attempts to connect with a campaign worker named Betsy fail, further isolating him. He then becomes fixated on saving Iris, a twelve-year-old prostitute, from her pimp. The film explores themes of urban decay, alienation, and the psychological effects of war, culminating in a violent confrontation as Travis attempts to rescue Iris and find redemption.","Такси жүргізушісі Трэвис Биклдің соңынан ереді, жалғыз және оқшауланған Вьетнам соғысының ардагері ұйқысыздықтан зардап шегеді, өйткені ол 1970 жылдардағы Нью-Йорк қаласының қатал және моральдық жағынан ыдыраған көшелерінде жүреді. Трэвис қылмыс пен өзі куә болған азғындыққа наразы болып, көңілі қалып, қаланы тазартуға деген құштарлық пайда болады. Оның Бетси есімді науқан қызметкерімен байланыс орнату әрекеті сәтсіздікке ұшырап, оны оқшаулай түседі. Содан кейін ол Иристі, он екі жасар жезөкшені оның жезөкшесінен құтқаруға бел буады. Фильм қаланың ыдырауы, оқшаулану және соғыстың психологиялық әсерлері тақырыптарын зерттейді, Трэвис Иристі құтқарып, өзін ақтауға тырысқан кезде зорлық-зомбылықпен аяқталады.","Taxi Driver suit Travis Bickle, un vétéran de la guerre du Vietnam solitaire et aliéné souffrant d'insomnie, alors qu'il navigue dans les rues sombres et moralement décadentes du New York des années 1970. Dégoûté par le crime et l'immoralité perçue dont il est témoin, Travis est de plus en plus désillusionné et développe le désir de nettoyer la ville. Ses tentatives de se connecter avec une collaboratrice de campagne nommée Betsy échouent, l'isolant davantage. Il se fixe ensuite sur le sauvetage d'Iris, une prostituée de douze ans, de son proxénète. Le film explore les thèmes de la dégradation urbaine, de l'aliénation et des effets psychologiques de la guerre, culminant dans une confrontation violente alors que Travis tente de sauver Iris et de trouver la rédemption."
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,A Hong Kong cop comes to New York for a wedding and gets caught up in a gang war. He must use his martial arts skills to restore order in the Bronx.,Гонконгтық полицей Нью-Йоркке үйлену тойына келеді және бандалық соғысқа араласып қалады. Ол Бронксте тәртіп орнату үшін жауынгерлік өнерін қолдануы керек.,Un policier de Hong Kong se rend à New York pour un mariage et se retrouve mêlé à une guerre des gangs. Il doit utiliser ses compétences en arts martiaux pour rétablir l'ordre dans le Bronx.,"""Rumble in the Bronx"" is a high-energy action comedy starring Jackie Chan as Keung, a Hong Kong police officer who visits New York City to attend his uncle's wedding. While there, he gets embroiled in a conflict with a local street gang causing mayhem in the Bronx. Keung uses his incredible martial arts skills and improvisational fighting style to protect the neighborhood and bring the criminals to justice. The film is known for its over-the-top stunts, comedic fight sequences, and showcasing Chan's signature blend of action and humor. It was a breakthrough success for Chan in North America, solidifying his international stardom.","""Бронкстегі дүрбелең"" - Джеки Чан басты рөлді сомдаған жоғары энергиялы экшн комедиясы, ол Гонконг полициясының қызметкері Кеунг рөлін ойнайды, ол Нью-Йоркке ағасының үйлену тойына барады. Онда жүргенде ол Бронксте бүлік шығарып жатқан жергілікті көше бандасымен қақтығысқа түседі. Кеунг көршілестерді қорғау және қылмыскерлерді жауапқа тарту үшін өзінің керемет жауынгерлік өнерін және импровизациялық жекпе-жек стилін қолданады. Фильм өзінің шектен тыс трюктерімен, комедиялық жекпе-жек көріністерімен және Чанның экшн мен юмордың өзіндік үйлесімін көрсетуімен танымал. Бұл Чан үшін Солтүстік Америкадағы үлкен жетістік болды, оның халықаралық жұлдыздығын нығайтты.","""Rumble in the Bronx"" est une comédie d'action énergique mettant en vedette Jackie Chan dans le rôle de Keung, un policier de Hong Kong qui se rend à New York pour assister au mariage de son oncle. Là, il se retrouve mêlé à un conflit avec un gang de rue local semant le chaos dans le Bronx. Keung utilise ses incroyables compétences en arts martiaux et son style de combat improvisé pour protéger le quartier et traduire les criminels en justice. Le film est connu pour ses cascades exagérées, ses séquences de combat comiques et la mise en valeur du mélange caractéristique d'action et d'humour de Chan. Ce fut un succès retentissant pour Chan en Amérique du Nord, consolidant sa notoriété internationale."
113,Before and After (1996),Drama|Mystery,A family's life is torn apart when their son is accused of murder. They must decide how far they will go to protect him.,Отбасының өмірі ұлы кісі өлтірді деген айып тағылғанда талқандалады. Олар оны қорғау үшін қаншалықты алысқа баратынын шешуі керек.,La vie d'une famille est bouleversée lorsque leur fils est accusé de meurtre. Ils doivent décider jusqu'où ils sont prêts à aller pour le protéger.,"In ""Before and After,"" a seemingly perfect family is shattered when their teenage son, Jacob, becomes the prime suspect in the murder of his girlfriend. His parents, Carolyn, a doctor, and Ben, a sculptor, grapple with the moral dilemma of whether to protect their son or cooperate with the authorities. As the investigation unfolds, secrets are revealed, and the family's bond is tested to its limits. The film explores themes of parental love, loyalty, and the lengths to which people will go to protect their own, even when faced with overwhelming evidence and moral ambiguity. The mystery deepens as the parents make increasingly difficult choices, blurring the lines between right and wrong.","""Before and After"" фильмінде жасөспірім ұлы Джейкоб сүйіктісін өлтірді деген күдікке ілінгенде, мінсіз болып көрінетін отбасы талқандалады. Оның ата-анасы, дәрігер Кэролин және мүсінші Бен ұлын қорғау немесе билікпен ынтымақтасу туралы моральдық дилеммамен күреседі. Тергеу барысында құпиялар ашылып, отбасының байланысы шегіне дейін сыналады. Фильм ата-ананың махаббаты, адалдығы және адамдардың өздерін қорғау үшін қаншалықты баратыны туралы тақырыптарды зерттейді, тіпті басым дәлелдер мен моральдық түсініксіздікке тап болған кезде де. Ата-аналардың барған сайын қиын таңдау жасауымен құпия тереңдей түседі, дұрыс пен бұрыстың арасындағы шекара бұлыңғырланады.","Dans ""Before and After"", une famille apparemment parfaite est brisée lorsque leur fils adolescent, Jacob, devient le principal suspect dans le meurtre de sa petite amie. Ses parents, Carolyn, médecin, et Ben, sculpteur, sont confrontés au dilemme moral de savoir s'ils doivent protéger leur fils ou coopérer avec les autorités. Au fur et à mesure que l'enquête se déroule, des secrets sont révélés et le lien familial est mis à rude épreuve. Le film explore les thèmes de l'amour parental, de la loyauté et des efforts que les gens sont prêts à faire pour protéger les leurs, même face à des preuves accablantes et à une ambiguïté morale. Le mystère s'épaissit à mesure que les parents font des choix de plus en plus difficiles, brouillant les frontières entre le bien et le mal."
